Wed Dec 04 2019 14:37:22 GMT-0800 (Pacific Standard Time),
Time (s),Prop Pressure (psig)
0.07,40.1
0.156,40.1
0.253,39.6
0.343,39.6
0.441,40.1
0.526,39.6
0.623,39.6
0.716,39.1
0.809,32
0.91,32
0.998,31.5
1.091,32
1.179,32
1.28,32
1.368,32.5
1.47,32
1.556,32
1.662,32
1.741,31.5
1.839,32.5
1.927,31.5
2.022,32.5
2.115,32.5
2.222,32.5
2.305,32.5
2.398,32.5
2.492,33
2.578,32.5
2.676,32.5
2.768,33
2.862,32.5
2.955,33
3.055,33
3.142,33
3.235,33
3.327,33
3.419,33
3.515,33
3.621,33
3.715,33
3.794,33
3.887,33.5
3.979,33
4.077,33
4.183,33.5
4.261,33.5
4.354,33.5
4.445,33
4.541,33.5
4.634,33.5
4.729,33.5
4.82,34
4.913,34
5.007,34
5.101,33.5
5.193,34
5.292,34
5.38,33.5
5.475,34
5.566,34
5.659,34
5.753,34
5.847,34
5.938,34
6.034,34
6.126,34
6.228,34
6.318,34
6.409,34.5
6.499,34
6.595,34
6.694,34
6.787,34
6.874,34.5
7.033,34
7.061,34.5
7.152,34
7.246,34.5
7.339,34.5
7.433,34.5
7.549,34.5
7.633,34.5
7.716,34.5
7.807,35
7.898,34.5
7.991,34.5
8.085,34.5
8.177,34.5
8.273,35
8.384,34.5
8.455,35
8.554,35
8.673,34.5
8.752,35
8.834,41.6
8.936,43.1
9.02,43.1
9.112,43.7
9.204,43.7
9.293,43.7
9.396,43.7
9.488,43.7
9.582,43.7
9.715,43.7
9.765,43.7
9.864,43.7
9.95,43.7
10.04,43.7
10.136,43.7
10.231,43.1
10.327,43.7
10.416,43.1
10.511,43.1
10.603,43.1
10.696,43.1
10.789,43.1
10.883,43.1
10.98,43.1
11.105,43.1
11.162,43.1
11.259,43.1
11.35,42.6
11.443,43.1
11.539,42.6
11.632,42.6
11.732,42.6
11.818,42.1
11.914,42.6
12.009,42.1
12.097,42.1
12.189,42.1
12.283,42.1
12.375,42.1
12.474,42.1
12.565,42.1
12.656,42.1
12.748,41.6
12.843,42.1
12.934,41.6
13.031,41.6
13.124,41.6
13.215,41.6
13.308,41.6
13.404,41.1
13.495,41.6
13.595,41.6
